1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
97,000       91,030       960,48       0,54067      406,52       2670,8       1,2732       7,3904       0,67808      0,024766     290,88       12,167       0,059488
97,500       92,698       960,13       0,54993      408,62       2671,6       1,2789       7,3843       0,67825      0,024821     289,32       12,184       0,059392
98,000       94,390       959,78       0,55931      410,73       2672,4       1,2846       7,3783       0,67843      0,024875     287,78       12,201       0,059296
98,500       96,108       959,42       0,56883      412,84       2673,2       1,2902       7,3722       0,67860      0,024930     286,25       12,218       0,059200
99,000       97,852       959,06       0,57847      414,95       2674,0       1,2959       7,3661       0,67877      0,024985     284,73       12,235       0,059104
99,500       99,622       958,71       0,58825      417,06       2674,8       1,3016       7,3601       0,67893      0,025041     283,23       12,252       0,059008
100,00       101,42       958,35       0,59817      419,17       2675,6       1,3072       7,3541       0,67909      0,025096     281,74       12,269       0,058912
100,50       103,24       957,99       0,60822      421,28       2676,4       1,3129       7,3481       0,67925      0,025152     280,27       12,286       0,058815
101,00       105,09       957,63       0,61841      423,39       2677,1       1,3185       7,3422       0,67941      0,025208     278,81       12,303       0,058719
101,50       106,97       957,27       0,62874      425,50       2677,9       1,3241       7,3362       0,67956      0,025264     277,36       12,320       0,058622
102,00       108,87       956,90       0,63920      427,61       2678,7       1,3297       7,3303       0,67971      0,025320     275,93       12,338       0,058525
102,50       110,81       956,54       0,64981      429,72       2679,5       1,3354       7,3244       0,67985      0,025377     274,51       12,355       0,058429
103,00       112,77       956,18       0,66056      431,83       2680,3       1,3410       7,3185       0,67999      0,025433     273,10       12,372       0,058332
103,50       114,76       955,81       0,67146      433,94       2681,1       1,3466       7,3126       0,68013      0,025490     271,71       12,389       0,058235
104,00       116,78       955,44       0,68250      436,05       2681,8       1,3522       7,3068       0,68027      0,025547     270,33       12,406       0,058137
104,50       118,83       955,07       0,69369      438,16       2682,6       1,3578       7,3010       0,68041      0,025604     268,96       12,423       0,058040
105,00       120,90       954,70       0,70503      440,27       2683,4       1,3633       7,2952       0,68054      0,025661     267,60       12,440       0,057943
105,50       123,01       954,33       0,71652      442,39       2684,2       1,3689       7,2894       0,68066      0,025719     266,26       12,457       0,057845
106,00       125,15       953,96       0,72816      444,50       2684,9       1,3745       7,2836       0,68079      0,025777     264,93       12,475       0,057747
106,50       127,32       953,59       0,73995      446,61       2685,7       1,3801       7,2778       0,68091      0,025834     263,61       12,492       0,057650
107,00       129,52       953,22       0,75190      448,73       2686,5       1,3856       7,2721       0,68103      0,025892     262,30       12,509       0,057552
107,50       131,75       952,84       0,76401      450,84       2687,2       1,3912       7,2664       0,68115      0,025951     261,01       12,526       0,057454
108,00       134,01       952,46       0,77627      452,95       2688,0       1,3967       7,2607       0,68126      0,026009     259,72       12,543       0,057356
108,50       136,30       952,09       0,78869      455,07       2688,8       1,4023       7,2550       0,68137      0,026068     258,45       12,560       0,057257
